Date,History
11/9/2015,14600
11/10/2015,6770
11/11/2015,4570
11/12/2015,11030
11/13/2015,14970
11/14/2015,23460
11/15/2015,17070
11/16/2015,16940
11/17/2015,11990
11/18/2015,18140
11/19/2015,15430
11/20/2015,18140
11/21/2015,6430
11/22/2015,5940
11/23/2015,9900
11/24/2015,5070
11/25/2015,11150
11/26/2015,10980
11/27/2015,16310
11/28/2015,8010
11/29/2015,14620
11/30/2015,10070
12/1/2015,11460
12/2/2015,7200
12/3/2015,5790
12/4/2015,13280
12/5/2015,25190
12/6/2015,8790
12/7/2015,13610
12/8/2015,14650
12/9/2015,12930
12/10/2015,13880
12/11/2015,20110
12/12/2015,14150
12/13/2015,3700
12/14/2015,5500
12/15/2015,11610
12/16/2015,4200
12/17/2015,6970
12/18/2015,11220
12/19/2015,23240
12/20/2015,11460
12/21/2015,16650
12/22/2015,7760
12/23/2015,9820
12/24/2015,6540
12/25/2015,14480
12/26/2015,7290
12/27/2015,12920
12/28/2015,8930
12/29/2015,7570
12/30/2015,14000
12/31/2015,10890
1/1/2016,2260
1/2/2016,17160
1/3/2016,3130
1/4/2016,17320
1/5/2016,20510
1/6/2016,19820
1/7/2016,11800
1/8/2016,11590
1/9/2016,11570
1/10/2016,10510
1/11/2016,21840
1/12/2016,10770
1/13/2016,20910
1/14/2016,12810
1/15/2016,22460
1/16/2016,16740
1/17/2016,13000
1/18/2016,33050
1/19/2016,11440
1/20/2016,9030
1/21/2016,14810
1/22/2016,11940
1/23/2016,10630
1/24/2016,3080
1/25/2016,17390
1/26/2016,10250
1/27/2016,8180
1/28/2016,10470
1/29/2016,8190
1/30/2016,9320
1/31/2016,11510
2/1/2016,10520
2/2/2016,9400
2/3/2016,9730
2/4/2016,12800
2/5/2016,32270
2/6/2016,21370
2/7/2016,15560
2/8/2016,16200
2/9/2016,13090
2/10/2016,8750
2/11/2016,12370
2/12/2016,17360
2/13/2016,20090
2/14/2016,10520
2/15/2016,21540
2/16/2016,14310
2/17/2016,17770
2/18/2016,19080
2/19/2016,16470
2/20/2016,19220
2/21/2016,7690
2/22/2016,7840
2/23/2016,9110
2/24/2016,4490
2/25/2016,5980
2/26/2016,9640
2/27/2016,5110
2/28/2016,10540
2/29/2016,12980
